W_0 Ep: 1001 | Ep_r: -365
W_3 Ep: 1002 | Ep_r: -370
W_7 Ep: 1003 | Ep_r: -346
W_2 Ep: 1004W_1 Ep:  | Ep_r: -372
1004 | Ep_r: -388
W_5 Ep: 1006 | Ep_r: -389
W_6 Ep: 1007 | Ep_r: -364
W_4 Ep: 1007 | Ep_r: -393
W_0 Ep: 1009 | Ep_r: -379
W_3 Ep: 1010 | Ep_r: -355
W_7 Ep: 1011 | Ep_r: -360
W_2 Ep: 1012 | Ep_r: -337
W_1 Ep: 1013 | Ep_r: -346
W_5 Ep: 1014 | Ep_r: -337
W_6 Ep: 1015 | Ep_r: -344
W_4 Ep: 1016 | Ep_r: -369
W_0 Ep: 1017 | Ep_r: -346
W_3 Ep: 1018 | Ep_r: -338
W_7 Ep: 1019 | Ep_r: -330
W_2 Ep: 1020 | Ep_r: -323
W_1 Ep: 1021 | Ep_r: -354
W_5 Ep: 1022 | Ep_r: -332
W_6 Ep: 1023 | Ep_r: -358
W_0 Ep: 1024 | Ep_r: -390
W_3 Ep: 1025 | Ep_r: -394
W_4 Ep: 1026 | Ep_r: -407
W_7 Ep: 1027 | Ep_r: -405
W_1 Ep: 1028 | Ep_r: -419
W_2 Ep: 1029 | Ep_r: -403
W_5 Ep: 1030 | Ep_r: -424
W_6 Ep: 1031 | Ep_r: -394
W_3 Ep: 1032 | Ep_r: -421
W_0 Ep: 1032 | Ep_r: -419
W_4 Ep: 1034 | Ep_r: -414
W_7 Ep: 1035 | Ep_r: -399
W_2 Ep: 1036 | Ep_r: -412
W_1 Ep: 1037 | Ep_r: -425
W_5 Ep: 1038 | Ep_r: -437
W_6 Ep: 1039 | Ep_r: -434
W_0 Ep: 1040 | Ep_r: -416
W_4 Ep: 1041 | Ep_r: -401
W_3 Ep: 1042 | Ep_r: -374
W_7 Ep: 1043 | Ep_r: -404
W_2 Ep: 1044 | Ep_r: -429
W_1 Ep: 1045 | Ep_r: -413
W_5 Ep: 1046 | Ep_r: -424
W_6 Ep: 1047 | Ep_r: -408
W_3W_0 Ep: 1048 Ep: 1048 | Ep_r: -420
 | Ep_r: -443
W_4 Ep: 1050 | Ep_r: -426
W_7 Ep: 1051 | Ep_r: -410
W_2 Ep: 1052 | Ep_r: -424
W_5 Ep: 1053 | Ep_r: -437
W_1 Ep: 1054 | Ep_r: -446
W_6 Ep: 1055 | Ep_r: -453
W_3 Ep: 1056 | Ep_r: -408
W_0 Ep: 1056W_4 Ep: 1057 | Ep_r: -380
 | Ep_r: -368
W_7 Ep: 1059 | Ep_r: -331
W_2 Ep: 1060 | Ep_r: -311
W_5 Ep: 1061 | Ep_r: -293
W_1 Ep: 1062 | Ep_r: -318
W_6 Ep: 1063 | Ep_r: -312
W_3 Ep: 1064 | Ep_r: -320
W_0 Ep: 1065 | Ep_r: -341
W_4 Ep: 1066 | Ep_r: -307
W_7 Ep: 1067 | Ep_r: -290
W_5 W_2Ep: 1068 | Ep_r: -274
 Ep: 1068 | Ep_r: -300
W_1 Ep: 1070 | Ep_r: -327
W_6 Ep: 1071 | Ep_r: -347
W_3 Ep: 1072 | Ep_r: -338
W_0 Ep: 1073 | Ep_r: -344
W_4 Ep: 1074 | Ep_r: -310
W_5 Ep: 1075W_7  | Ep_r: -334Ep: 1075 | Ep_r: -300

W_1 Ep: 1076 | Ep_r: -312
W_2 Ep: 1078 | Ep_r: -349
W_6 Ep: 1079 | Ep_r: -368
W_3 Ep: 1080 | Ep_r: -372
W_0 Ep: 1081 | Ep_r: -389
W_4 Ep: 1082 | Ep_r: -416
W_2 Ep: 1083 | Ep_r: -401
W_7W_1  Ep: 1084 Ep:| Ep_r: -428
 1084 | Ep_r: -402
W_5 Ep: 1086 | Ep_r: -398
W_6 Ep: 1087 | Ep_r: -398
W_3 Ep: 1088 | Ep_r: -372
W_0 Ep: 1089 | Ep_r: -374
W_4 Ep: 1090 | Ep_r: -350
W_1 Ep: 1091 | Ep_r: -354
W_2 Ep: 1092 | Ep_r: -332
W_7 Ep: 1093 | Ep_r: -339
W_5 Ep: 1094 | Ep_r: -363
W_6 Ep: 1095 | Ep_r: -340
W_3 Ep: 1096 | Ep_r: -333
W_2 Ep: 1097 | Ep_r: -300
W_0 Ep: 1098 | Ep_r: -309
W_1 Ep: 1099 | Ep_r: -318
W_4 Ep: 1100 | Ep_r: -312
W_7 Ep: 1101 | Ep_r: -339
W_5 Ep: 1102 | Ep_r: -360
W_6 Ep: 1103 | Ep_r: -367
W_3 Ep: 1104 | Ep_r: -418
W_1 Ep: 1105 | Ep_r: -433
W_2 Ep: 1106 | Ep_r: -430
W_4 Ep: 1107 | Ep_r: -414
W_0 Ep: 1108 | Ep_r: -425
W_7 Ep: 1109 | Ep_r: -424
W_5 Ep: 1110 | Ep_r: -421
W_6 Ep: 1111 | Ep_r: -379
W_3 Ep: 1112 | Ep_r: -382
